zipcode,state,city,zone
33510,FL,Brandon,3
33511,FL,Brandon,3
33523,FL,Dade City,3
33525,FL,Dade City,3
33527,FL,Dover,3
33534,FL,Gibsonton,3
33540,FL,Zephyrhills,3
33541,FL,Zephyrhills,3
33542,FL,Zephyrhills,3
33543,FL,Wesley Chapel,3
33544,FL,Wesley Chapel,3
33545,FL,Wesley Chapel,3
33547,FL,Lithia,3
33548,FL,Lutz,3
33549,FL,Lutz,3
33556,FL,Odessa,3
33558,FL,Lutz,3
33559,FL,Lutz,3
33563,FL,Plant City,3
33565,FL,Plant City,3
33566,FL,Plant City,3
33567,FL,Plant City,3
33569,FL,Riverview,3
33570,FL,Ruskin,3
33572,FL,Apollo Beach,3
33573,FL,Sun City Center,3
33576,FL,San Antonio,3
33578,FL,Riverview,3
33579,FL,Riverview,3
33584,FL,Seffner,3
33592,FL,Thonotosassa,3
33594,FL,Valrico,3
33596,FL,Valrico,3
33598,FL,Wimauma,3
33602,FL,Tampa,3
33603,FL,Tampa,3
33604,FL,Tampa,3
33605,FL,Tampa,3
33606,FL,Tampa,3
33607,FL,Tampa,3
33609,FL,Tampa,3
33610,FL,Tampa,3
33611,FL,Tampa,3
33612,FL,Tampa,3
33613,FL,Tampa,3
33614,FL,Tampa,3
33615,FL,Tampa,3
33616,FL,Tampa,3
33617,FL,Tampa,3
33618,FL,Tampa,3
33619,FL,Tampa,3
33620,FL,Tampa,3
33621,FL,Tampa,3
33624,FL,Tampa,3
33625,FL,Tampa,3
33626,FL,Tampa,3
33629,FL,Tampa,3
33634,FL,Tampa,3
33635,FL,Tampa,3
33637,FL,Tampa,3
33647,FL,Tampa,3
33701,FL,Saint Petersburg,4
33702,FL,Saint Petersburg,4
33703,FL,Saint Petersburg,4
33704,FL,Saint Petersburg,4
33705,FL,Saint Petersburg,4
33706,FL,Saint Petersburg,4
33707,FL,Saint Petersburg,4
33708,FL,Saint Petersburg,4
33709,FL,Saint Petersburg,4
33710,FL,Saint Petersburg,4
33711,FL,Saint Petersburg,4
33712,FL,Saint Petersburg,4
33713,FL,Saint Petersburg,4
33714,FL,Saint Petersburg,4
33715,FL,Saint Petersburg,4
33716,FL,Saint Petersburg,4
33755,FL,Clearwater,4
33756,FL,Clearwater,4
33759,FL,Clearwater,4
33760,FL,Clearwater,4
33761,FL,Clearwater,4
33762,FL,Clearwater,4
33763,FL,Clearwater,4
33764,FL,Clearwater,4
33765,FL,Clearwater,4
33767,FL,Clearwater Beach,4
33770,FL,Largo,4
33771,FL,Largo,4
33772,FL,Seminole,4
33773,FL,Largo,4
33774,FL,Largo,4
33776,FL,Seminole,4
33777,FL,Seminole,4
33778,FL,Largo,4
33781,FL,Pinellas Park,4
33782,FL,Pinellas Park,4
33785,FL,Indian Rocks Beach,4
33786,FL,Belleair Beach,4
33801,FL,Lakeland,3
33803,FL,Lakeland,3
33805,FL,Lakeland,3
33809,FL,Lakeland,3
33810,FL,Lakeland,3
33811,FL,Lakeland,3
33812,FL,Lakeland,3
33813,FL,Lakeland,3
33815,FL,Lakeland,3
34201,FL,Bradenton,3
34202,FL,Bradenton,3
34203,FL,Bradenton,3
34205,FL,Bradenton,3
34207,FL,Bradenton,3
34208,FL,Bradenton,3
34209,FL,Bradenton,3
34210,FL,Bradenton,3
34211,FL,Bradenton,3
34212,FL,Bradenton,3
34215,FL,Cortez,3
34217,FL,Bradenton Beach,3
34219,FL,Parrish,3
34221,FL,Palmetto,3
34222,FL,Ellenton,3
34223,FL,Englewood,3
34224,FL,Englewood,3
34228,FL,Longboat Key,3
34229,FL,Osprey,3
34231,FL,Sarasota,3
34232,FL,Sarasota,3
34233,FL,Sarasota,3
34234,FL,Sarasota,3
34235,FL,Sarasota,3
34236,FL,Sarasota,3
34237,FL,Sarasota,3
34238,FL,Sarasota,3
34239,FL,Sarasota,3
34240,FL,Sarasota,3
34241,FL,Sarasota,3
34242,FL,Sarasota,3
